ID,class
0,6
1,6
2,5
3,3
4,2
5,8
6,4
7,4
8,1
9,5
10,1
11,6
12,5
13,6
14,0
15,0
16,6
17,4
18,5
19,0
20,9
21,6
22,5
23,1
24,7
25,4
26,0
27,5
28,6
29,3
30,4
31,5
32,7
33,1
34,0
35,7
36,0
37,0
38,7
39,5
40,6
41,4
42,2
43,5
44,0
45,5
46,7
47,1
48,2
49,7
50,8
51,0
52,7
53,6
54,6
55,2
56,7
57,2
58,0
59,0
60,1
61,2
62,4
63,7
64,8
65,1
66,4
67,5
68,6
69,7
70,6
71,4
72,9
73,0
74,1
75,6
76,2
77,4
78,7
79,4
80,0
81,9
82,4
83,5
84,3
85,7
86,6
87,2
88,7
89,9
90,0
91,9
92,6
93,5
94,7
95,2
96,4
97,5
98,8
99,9
100,1
101,9
102,9
103,6
104,5
105,6
106,6
107,7
108,0
109,6
110,7
111,0
112,0
113,6
114,1
115,5
116,7
117,5
118,1
119,0
120,1
121,4
122,1
123,1
124,7
125,4
126,0
127,5
128,7
129,2
130,5
131,6
132,7
133,4
134,5
135,9
136,9
137,6
138,4
139,7
140,7
141,0
142,7
143,1
144,4
145,1
146,0
147,6
148,5
149,6
150,7
151,0
152,1
153,0
154,2
155,2
156,4
157,4
158,9
159,7
160,5
161,7
162,6
163,5
164,5
165,0
166,7
167,7
168,0
169,7
170,2
171,7
172,9
173,6
174,7
175,0
176,5
177,8
178,5
179,6
180,8
181,6
182,3
183,9
184,4
185,9
186,7
187,8
188,6
189,9
190,0
191,3
192,1
193,7
194,7
195,4
196,8
197,1
198,0
199,5
200,5
201,6
202,6
203,6
204,6
205,9
206,6
207,0
208,5
209,0
210,5
211,2
212,1
213,6
214,1
215,8
216,5
217,8
218,6
219,8
220,9
221,6
222,7
223,3
224,1
225,6
226,0
227,7
228,1
229,1
230,2
231,5
232,1
233,5
234,7
235,3
236,8
237,9
238,5
239,0
240,4
241,6
242,7
243,0
244,6
245,4
246,4
247,7
248,7
249,5
250,0
251,5
252,8
253,9
254,1
255,8
256,8
257,6
258,8
259,0
260,7
261,7
262,5
263,5
264,7
265,4
266,6
267,4
268,5
269,7
270,3
271,1
272,7
273,6
274,5
275,5
276,9
277,5
278,0
279,5
280,9
281,3
282,8
283,7
284,8
285,0
286,9
287,7
288,9
289,3
290,4
291,6
292,0
293,2
294,7
295,5
296,1
297,1
298,7
299,0
300,6
301,7
302,1
303,7
304,9
305,4
306,1
307,1
308,6
309,5
310,6
311,7
312,0
313,1
314,6
315,0
316,7
317,0
318,7
319,1
320,7
321,0
322,9
323,7
324,7
325,9
326,4
327,1
328,7
329,8
330,6
331,2
332,7
333,7
334,2
335,4
336,6
337,4
338,5
339,1
340,7
341,5
342,4
343,6
344,8
345,7
346,0
347,4
348,4
349,6
350,0
351,6
352,0
353,4
354,0
355,4
356,9
357,6
358,5
359,5
360,9
361,2
362,6
363,6
364,5
365,1
366,0
367,5
368,3
369,0
370,0
371,7
372,6
373,5
374,7
375,1
376,1
377,6
378,9
379,9
380,1
381,7
382,6
383,2
384,1
385,6
386,1
387,7
388,7
389,6
390,1
391,0
392,1
393,6
394,8
395,2
396,5
397,4
398,4
399,0
400,5
401,8
402,7
403,9
404,4
405,7
406,0
407,2
408,7
409,1
410,6
411,9
412,5
413,7
414,7
415,7
416,7
417,6
418,4
419,1
420,4
421,0
422,0
423,7
424,6
425,5
426,1
427,0
428,7
429,7
430,0
431,7
432,5
433,6
434,1
435,6
436,5
437,9
438,2
439,0
440,5
441,1
442,7
443,5
444,7
445,7
446,2
447,0
448,7
449,1
450,1
451,4
452,4
453,5
454,6
455,0
456,4
457,2
458,7
459,7
460,0
461,1
462,9
463,6
464,5
465,0
466,1
467,1
468,5
469,0
470,5
471,8
472,9
473,9
474,8
475,4
476,9
477,2
478,4
479,5
480,8
481,7
482,4
483,6
484,7
485,5
486,4
487,7
488,0
489,7
490,4
491,1
492,1
493,4
494,7
495,4
496,5
497,4
498,4
499,1
500,7
501,2
502,4
503,6
504,4
505,5
506,5
507,1
508,0
509,4
510,5
511,2
512,6
513,1
514,0
515,8
516,4
517,4
518,9
519,5
520,4
521,2
522,7
523,1
524,9
525,6
526,6
527,1
528,5
529,0
530,0
531,7
532,9
533,2
534,4
535,2
536,6
537,0
538,2
539,5
540,1
541,0
542,4
543,6
544,6
545,2
546,6
547,9
548,4
549,6
550,7
551,4
552,6
553,6
554,8
555,1
556,5
557,4
558,7
559,5
560,5
561,4
562,7
563,9
564,5
565,4
566,8
567,6
568,0
569,8
570,3
571,0
572,1
573,6
574,2
575,8
576,5
577,7
578,4
579,7
580,0
581,3
582,9
583,8
584,0
585,0
586,0
587,5
588,4
589,4
590,1
591,1
592,5
593,5
594,7
595,3
596,4
597,7
598,7
599,0
600,1
601,2
602,1
603,1
604,7
605,2
606,4
607,5
608,0
609,9
610,9
611,2
612,6
613,5
614,4
615,5
616,2
617,4
618,0
619,8
620,7
621,5
622,6
623,8
624,2
625,5
626,6
627,0
628,8
629,1
630,2
631,5
632,7
633,6
634,0
635,1
636,1
637,5
638,0
639,4
640,5
641,5
642,0
643,6
644,0
645,7
646,7
647,0
648,7
649,7
650,7
651,1
652,4
653,2
654,7
655,6
656,5
657,7
658,5
659,6
660,4
661,6
662,1
663,0
664,6
665,6
666,4
667,2
668,6
669,5
670,2
671,6
672,2
673,0
674,0
675,6
676,7
677,0
678,4
679,6
680,1
681,8
